Название кампании,№ Кампании,День,Показы,Клики,"Расход, ₽",Конверсии,"CR, %","CPA, ₽"
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,05.06.2026,6068,43,1723.37,7,16.28,246.20
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,05.06.2026,183,0,0.00,0,-,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,05.06.2026,21,2,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,05.06.2026,2393,19,490.54,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,06.06.2026,2,0,0.00,0,-,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,06.06.2026,1,0,0.00,0,-,-
10. Форма | РСЯ,115971938,06.06.2026,16,0,0.00,0,-,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,06.06.2026,1037,1,5.68,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,06.06.2026,100,2,13.29,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,08.06.2026,55,5,389.78,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,08.06.2026,54,7,686.47,1,14.29,686.47
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,08.06.2026,37,4,290.36,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,08.06.2026,19,2,235.01,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,08.06.2026,6,1,295.00,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,08.06.2026,9,1,7.80,0,0.00,-
10. Форма | РСЯ,115971938,08.06.2026,7250,27,885.26,2,7.41,442.63
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,08.06.2026,6440,50,2199.20,2,4.00,1099.60
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,08.06.2026,966,3,0.00,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,08.06.2026,60,4,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,08.06.2026,2965,25,734.59,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,09.06.2026,109,11,625.72,2,18.18,312.86
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,09.06.2026,60,8,1568.46,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,09.06.2026,40,2,82.70,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,09.06.2026,47,8,1115.21,1,12.50,1115.21
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,09.06.2026,3,0,0.00,0,-,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,09.06.2026,7,1,17.57,0,0.00,-
10. Форма | РСЯ,115971938,09.06.2026,15105,57,2731.68,2,3.51,1365.84
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,09.06.2026,6756,58,3020.10,5,8.62,604.02
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,09.06.2026,2362,6,0.00,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,09.06.2026,86,3,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,09.06.2026,5817,42,1050.98,1,2.38,1050.98
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,10.06.2026,53,6,382.83,1,16.67,382.83
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,10.06.2026,48,6,1609.44,1,16.67,1609.44
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,10.06.2026,29,4,356.13,1,25.00,356.13
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,10.06.2026,7,0,0.00,0,-,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,10.06.2026,2,0,0.00,0,-,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,10.06.2026,1,0,0.00,0,-,-
10. Форма | РСЯ,115971938,10.06.2026,24409,77,3465.93,1,1.30,3465.93
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,10.06.2026,4139,38,2017.74,3,7.89,672.58
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,10.06.2026,1120,5,0.00,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,10.06.2026,36,2,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,10.06.2026,5543,26,822.20,0,0.00,-
10. Форма | РСЯ,115971938,11.06.2026,9,0,0.00,0,-,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,11.06.2026,2,0,0.00,0,-,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,11.06.2026,1,0,0.00,0,-,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,12.06.2026,1,0,0.00,0,-,-
10. Форма | РСЯ,115971938,12.06.2026,1011,2,38.34,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,12.06.2026,327,3,94.57,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,12.06.2026,164,1,9.69,0,0.00,-
10. Форма | РСЯ,115971938,13.06.2026,21,1,2.22,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,13.06.2026,451,0,0.00,0,-,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,13.06.2026,7,0,0.00,0,-,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,14.06.2026,220,1,0.31,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,15.06.2026,49,2,53.62,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,15.06.2026,44,8,1382.22,1,12.50,1382.22
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,15.06.2026,23,3,547.73,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,15.06.2026,10,2,418.80,2,100.00,209.40
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,15.06.2026,6,2,29.85,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,15.06.2026,6,0,0.00,0,-,-
10. Форма | РСЯ,115971938,15.06.2026,42972,97,5631.16,2,2.06,2815.58
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,15.06.2026,2593,35,1469.69,4,11.43,367.42
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,15.06.2026,323,3,0.00,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,15.06.2026,111,3,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,15.06.2026,4028,23,714.57,1,4.35,714.57
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,16.06.2026,85,9,619.41,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,16.06.2026,73,10,1384.75,1,10.00,1384.75
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,16.06.2026,54,2,559.54,1,50.00,559.54
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,16.06.2026,16,1,168.71,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,16.06.2026,6,1,343.08,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,16.06.2026,7,0,0.00,0,-,-
10. Форма | РСЯ,115971938,16.06.2026,24241,67,3797.48,2,2.99,1898.74
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,16.06.2026,4510,33,1305.38,2,6.06,652.69
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,16.06.2026,446,1,0.00,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,16.06.2026,31,3,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,16.06.2026,10069,67,2072.94,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,17.06.2026,29,1,46.63,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,17.06.2026,29,5,1129.68,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,17.06.2026,18,2,136.25,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,17.06.2026,7,1,9.97,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,17.06.2026,2,1,269.29,0,0.00,-
10. Форма | РСЯ,115971938,17.06.2026,8250,19,1188.43,1,5.26,1188.43
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,17.06.2026,2171,19,1082.74,4,21.05,270.69
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,17.06.2026,87,0,0.00,0,-,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,17.06.2026,9,1,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,17.06.2026,833,6,227.09,0,0.00,-
10. Форма | РСЯ,115971938,18.06.2026,30,0,0.00,0,-,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,18.06.2026,3129,1,0.99,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,19.06.2026,16,0,0.00,0,-,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,19.06.2026,24,7,1621.51,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,19.06.2026,24,2,50.95,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,19.06.2026,1,1,150.35,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,19.06.2026,1,0,0.00,0,-,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,19.06.2026,2,0,0.00,0,-,-
10. Форма | РСЯ,115971938,19.06.2026,63138,120,6765.03,1,0.83,6765.03
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,19.06.2026,4263,18,847.89,2,11.11,423.95
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,19.06.2026,1,0,0.00,0,-,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,19.06.2026,58,7,0.00,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,20.06.2026,2,0,0.00,0,-,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,20.06.2026,3,1,38.03,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,20.06.2026,1,0,0.00,0,-,-
10. Форма | РСЯ,115971938,20.06.2026,510,4,69.62,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,20.06.2026,493,8,455.88,1,12.50,455.88
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,20.06.2026,1,0,0.00,0,-,-
10. Форма | РСЯ,115971938,21.06.2026,88,1,0.93,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,21.06.2026,1114,0,0.00,0,-,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,22.06.2026,18,2,102.26,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,22.06.2026,21,3,390.14,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,22.06.2026,14,1,29.85,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,22.06.2026,2,0,0.00,0,-,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,22.06.2026,8,0,0.00,0,-,-
10. Форма | РСЯ,115971938,22.06.2026,34525,97,4824.43,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,22.06.2026,2801,14,398.06,2,14.29,199.03
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,22.06.2026,52,0,0.00,0,-,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,22.06.2026,55,3,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,22.06.2026,1243,14,648.06,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,23.06.2026,85,3,252.14,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,23.06.2026,52,11,1500.09,1,9.09,1500.09
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,23.06.2026,43,3,110.99,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,23.06.2026,9,1,98.57,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,23.06.2026,5,0,0.00,0,-,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,23.06.2026,7,2,97.96,0,0.00,-
10. Форма | РСЯ,115971938,23.06.2026,41226,108,5271.15,2,1.85,2635.58
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,23.06.2026,5986,37,2124.53,5,13.51,424.91
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,23.06.2026,144,4,0.00,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,23.06.2026,85,5,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,23.06.2026,2,0,0.00,0,-,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,24.06.2026,60,4,95.38,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,24.06.2026,32,6,1683.30,1,16.67,1683.30
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,24.06.2026,53,0,0.00,0,-,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,24.06.2026,30,1,86.84,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,24.06.2026,13,1,199.69,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,24.06.2026,13,0,0.00,0,-,-
10. Форма | РСЯ,115971938,24.06.2026,50190,124,5933.64,2,1.61,2966.82
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,24.06.2026,6530,46,2195.15,6,13.04,365.86
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,24.06.2026,218,1,0.00,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,24.06.2026,142,8,0.00,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,25.06.2026,51,5,360.27,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,25.06.2026,43,1,115.95,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,25.06.2026,35,1,3.44,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,25.06.2026,8,0,0.00,0,-,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,25.06.2026,5,0,0.00,0,-,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,25.06.2026,3,0,0.00,0,-,-
10. Форма | РСЯ,115971938,25.06.2026,11633,37,1666.16,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,25.06.2026,4747,36,2795.55,5,13.89,559.11
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,25.06.2026,326,0,0.00,0,-,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,25.06.2026,38,1,0.00,0,0.00,-
10. Форма | РСЯ,115971938,26.06.2026,4,0,0.00,0,-,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,29.06.2026,114,8,782.56,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,29.06.2026,37,5,1296.14,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,29.06.2026,30,0,0.00,0,-,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,29.06.2026,11,1,193.09,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,29.06.2026,4,1,20.30,0,0.00,-
10. Форма | РСЯ,115971938,29.06.2026,17096,69,3965.58,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,29.06.2026,5397,47,2913.65,4,8.51,728.41
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,29.06.2026,81,3,0.00,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,29.06.2026,33,4,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,29.06.2026,1973,13,490.66,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,30.06.2026,96,5,334.94,1,20.00,334.94
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,30.06.2026,65,8,1300.12,1,12.50,1300.12
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,30.06.2026,46,0,0.00,0,-,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,30.06.2026,18,1,380.63,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,30.06.2026,7,0,0.00,0,-,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,30.06.2026,13,0,0.00,0,-,-
10. Форма | РСЯ,115971938,30.06.2026,29038,107,4480.74,1,0.93,4480.74
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,30.06.2026,5411,63,3377.24,7,11.11,482.46
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,30.06.2026,618,4,0.00,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,30.06.2026,61,8,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,30.06.2026,11,0,0.00,0,-,-
